passengerid,pclass,survived,sex,age,sibsp,parch,fare,cabin,embarked
626,3,1,female,17,4,2,7.925,?,S
627,3,0,female,38,4,2,7.775,?,S
628,3,0,female,9,4,2,31.275,?,S
629,3,0,female,11,4,2,31.275,?,S
630,3,0,male,39,1,5,31.275,?,S
631,3,1,male,27,0,0,7.7958,?,S
632,3,0,male,26,0,0,7.775,?,S
633,3,0,female,39,1,5,31.275,?,S
634,3,0,male,20,0,0,7.8542,?,S
635,3,0,male,26,0,0,7.8958,?,S
636,3,0,male,25,1,0,17.8,?,S
637,3,0,female,18,1,0,17.8,?,S
638,3,0,male,24,0,0,7.775,?,S
639,3,0,male,35,0,0,7.05,?,S
640,3,0,male,5,4,2,31.3875,?,S
641,3,0,male,9,4,2,31.3875,?,S
642,3,1,male,3,4,2,31.3875,?,S
643,3,0,male,13,4,2,31.3875,?,S
644,3,1,female,5,4,2,31.3875,?,S
645,3,0,male,40,1,5,31.3875,?,S
646,3,1,male,23,0,0,7.7958,?,S
647,3,1,female,38,1,5,31.3875,?,S
648,3,1,female,45,0,0,7.225,?,C
649,3,0,male,21,0,0,7.225,?,C
650,3,0,male,23,0,0,7.05,?,S
651,3,0,female,17,0,0,14.4583,?,C
652,3,0,male,30,0,0,7.225,?,C
653,3,0,male,23,0,0,7.8542,?,S
654,3,1,female,13,0,0,7.2292,?,C
655,3,0,male,20,0,0,7.225,?,C
656,3,0,male,32,1,0,15.85,?,S
657,3,1,female,33,3,0,15.85,?,S
658,3,1,female,0,2,1,19.2583,?,C
659,3,1,female,0,2,1,19.2583,?,C
660,3,1,female,5,2,1,19.2583,?,C
661,3,1,female,24,0,3,19.2583,?,C
662,3,1,female,18,0,0,8.05,?,S
663,3,0,male,40,0,0,7.225,?,C
664,3,0,male,26,0,0,7.8958,?,S
665,3,1,male,20,0,0,7.2292,?,C
666,3,0,female,18,0,1,14.4542,?,C
667,3,0,female,45,0,1,14.4542,?,C
668,3,0,female,27,0,0,7.8792,?,Q
669,3,0,male,22,0,0,8.05,?,S
670,3,0,male,19,0,0,8.05,?,S
671,3,0,male,26,0,0,7.775,?,S
672,3,0,male,22,0,0,9.35,?,S
673,3,0,male,29,0,0,7.2292,?,C
674,3,0,male,20,0,0,4.0125,?,C
675,3,1,male,32,0,0,56.4958,?,S
676,3,0,male,21,0,0,7.775,?,S
677,3,0,male,18,0,0,7.75,?,S
678,3,0,male,26,0,0,7.8958,?,S
679,3,0,male,6,1,1,15.2458,?,C
680,3,0,female,9,1,1,15.2458,?,C
681,3,0,male,29,0,0,7.225,?,C
682,3,0,female,29,0,2,15.2458,?,C
683,3,0,female,29,0,2,7.75,?,Q
684,3,0,male,40,1,1,15.5,?,Q
685,3,0,female,32,1,1,15.5,?,Q
686,3,0,male,21,0,0,16.1,?,S
687,3,1,female,22,0,0,7.725,?,Q
688,3,0,female,20,0,0,7.8542,?,S
689,3,0,male,29,1,0,7.0458,?,S
690,3,0,male,22,1,0,7.25,?,S
691,3,0,male,22,0,0,7.7958,?,S
692,3,0,male,35,0,0,8.05,?,S
693,3,0,female,18,0,0,7.2833,?,Q
694,3,1,male,21,0,0,7.8208,?,Q
695,3,0,male,19,0,0,6.75,?,Q
696,3,0,female,18,0,0,7.8792,?,Q
697,3,0,female,21,0,0,8.6625,?,S
698,3,0,female,30,0,0,8.6625,?,S
699,3,0,male,18,0,0,8.6625,?,S
700,3,0,male,38,0,0,8.6625,?,S
701,3,0,male,17,0,0,8.6625,?,S
702,3,0,male,17,0,0,8.6625,?,S
703,3,0,female,21,0,0,7.75,?,Q
704,3,0,male,21,0,0,7.75,?,Q
705,3,0,male,21,0,0,8.05,?,S
706,3,0,male,29,1,0,14.4583,?,C
707,3,0,female,29,1,0,14.4583,?,C
708,3,0,male,28,0,0,7.7958,?,S
709,3,0,male,24,0,0,7.8542,?,S
710,3,1,female,16,0,0,7.75,?,Q
711,3,0,female,37,0,0,7.75,?,Q
712,3,0,male,28,0,0,7.25,?,S
713,3,0,male,24,0,0,8.05,?,S
714,3,0,male,21,0,0,7.7333,?,Q
715,3,1,male,32,0,0,56.4958,?,S
716,3,0,male,29,0,0,8.05,?,S
717,3,0,male,26,1,0,14.4542,?,C
718,3,0,male,18,1,0,14.4542,?,C
719,3,0,male,20,0,0,7.05,?,S
720,3,1,male,18,0,0,8.05,?,S
721,3,0,male,24,0,0,7.25,?,Q
722,3,0,male,36,0,0,7.4958,?,S
723,3,0,male,24,0,0,7.4958,?,S
724,3,0,male,31,0,0,7.7333,?,Q
725,3,0,male,31,0,0,7.75,?,Q
726,3,1,female,22,0,0,7.75,?,Q
727,3,0,female,30,0,0,7.6292,?,Q
728,3,0,male,70,0,0,7.75,?,Q
729,3,0,male,43,0,0,8.05,?,S
730,3,0,male,35,0,0,7.8958,?,S
731,3,0,male,27,0,0,7.8958,?,S
732,3,0,male,19,0,0,7.8958,?,S
733,3,0,male,30,0,0,8.05,?,S
734,3,1,male,9,1,1,15.9,?,S
735,3,1,male,3,1,1,15.9,?,S
736,3,1,female,36,0,2,15.9,?,S
737,3,0,male,59,0,0,7.25,?,S
738,3,0,male,19,0,0,8.1583,?,S
739,3,1,female,17,0,1,16.1,?,S
740,3,0,male,44,0,1,16.1,?,S
741,3,0,male,17,0,0,8.6625,?,S
742,3,0,male,22,0,0,7.225,?,C
743,3,1,male,45,0,0,8.05,?,S
744,3,0,female,22,0,0,10.5167,?,S
745,3,0,male,19,0,0,10.1708,?,S
746,3,1,female,30,0,0,6.95,?,Q
747,3,1,male,29,0,0,7.75,?,Q
748,3,0,male,0,0,2,14.4,?,S
749,3,0,male,34,1,1,14.4,?,S
750,3,0,female,28,1,1,14.4,?,S
751,3,0,male,27,0,0,7.8958,?,S
752,3,0,male,25,0,0,7.8958,?,S
753,3,0,male,24,2,0,24.15,?,S
754,3,0,male,22,0,0,8.05,?,S
755,3,0,male,21,2,0,24.15,?,S
756,3,0,male,17,2,0,8.05,?,S
757,3,0,male,29,1,0,16.1,?,S
758,3,1,female,29,1,0,16.1,?,S
759,3,1,male,36,1,0,17.4,?,S
760,3,1,female,36,1,0,17.4,?,S
761,3,1,male,30,0,0,9.5,?,S
762,3,0,male,16,0,0,9.5,?,S
763,3,1,male,1,1,2,20.575,?,S
764,3,1,female,0,1,2,20.575,?,S
765,3,0,male,26,1,2,20.575,?,S
766,3,1,female,33,1,2,20.575,?,S
767,3,0,male,25,0,0,7.8958,?,S
768,3,0,male,29,0,0,7.8958,?,S
769,3,0,male,29,0,0,7.8958,?,S
770,3,0,male,22,0,0,7.25,?,S
771,3,0,male,36,0,0,7.25,?,S
772,3,1,female,19,0,0,7.8792,?,Q
773,3,0,male,17,0,0,7.8958,?,S
774,3,0,male,42,0,0,8.6625,?,S
775,3,0,male,43,0,0,7.8958,?,S
776,3,0,male,29,0,0,7.2292,?,C
777,3,0,male,32,0,0,7.75,?,Q
778,3,1,male,19,0,0,8.05,?,S
779,3,1,female,30,0,0,12.475,?,S
780,3,0,female,24,0,0,7.75,?,Q
781,3,1,female,23,0,0,8.05,?,S
782,3,0,male,33,0,0,7.8958,?,C
783,3,0,male,65,0,0,7.75,?,Q
784,3,1,male,24,0,0,7.55,?,S
785,3,0,male,23,1,0,13.9,?,S
786,3,1,female,22,1,0,13.9,?,S
787,3,0,male,18,0,0,7.775,?,S
788,3,0,male,16,0,0,7.775,?,S
789,3,0,male,45,0,0,6.975,?,S
790,3,0,male,29,0,0,7.225,?,C
791,3,0,male,39,0,2,7.2292,?,C
792,3,0,male,17,1,1,7.2292,?,C
793,3,0,male,15,1,1,7.2292,?,C
794,3,0,male,47,0,0,7.25,?,S
795,3,1,female,5,0,0,12.475,?,S
796,3,0,male,29,0,0,7.225,?,C
797,3,0,male,40,0,0,15.1,?,S
798,3,0,male,40,0,0,7.75,?,Q
799,3,1,male,29,0,0,7.05,?,S
800,3,0,male,18,0,0,7.7958,?,S
801,3,0,female,29,0,0,7.75,?,Q
802,3,0,male,29,0,0,7.75,?,Q
803,3,0,male,29,0,0,6.95,?,Q
804,3,0,male,26,0,0,7.8792,?,Q
805,3,0,male,29,0,0,7.75,?,Q
806,3,1,male,29,0,0,56.4958,?,S
807,3,0,female,21,2,2,34.375,?,S
808,3,0,female,9,2,2,34.375,?,S
809,3,0,male,29,0,0,8.05,?,S
810,3,0,male,18,2,2,34.375,?,S
811,3,0,male,16,1,3,34.375,?,S
812,3,0,female,48,1,3,34.375,?,S
813,3,0,male,29,0,0,7.75,?,Q
814,3,0,male,29,0,0,7.25,?,S
815,3,0,male,25,0,0,7.7417,?,Q
816,3,0,male,29,0,0,14.5,?,S
817,3,0,male,29,0,0,7.8958,?,C
818,3,0,male,22,0,0,8.05,?,S
819,3,1,female,16,0,0,7.7333,?,Q
820,3,1,female,29,0,0,7.75,?,Q
821,3,1,male,9,0,2,20.525,?,S
822,3,0,male,33,1,1,20.525,?,S
823,3,0,male,41,0,0,7.85,?,S
824,3,1,female,31,1,1,20.525,?,S
825,3,0,male,38,0,0,7.05,?,S
826,3,0,male,9,5,2,46.9,?,S
827,3,0,male,1,5,2,46.9,?,S
828,3,0,male,11,5,2,46.9,?,S
829,3,0,female,10,5,2,46.9,?,S
830,3,0,female,16,5,2,46.9,?,S
831,3,0,male,14,5,2,46.9,?,S
832,3,0,male,40,1,6,46.9,?,S
833,3,0,female,43,1,6,46.9,?,S
834,3,0,male,51,0,0,8.05,?,S
835,3,0,male,32,0,0,8.3625,?,S
836,3,0,male,29,0,0,8.05,?,S
837,3,0,male,20,0,0,9.8458,?,S
838,3,0,male,37,2,0,7.925,?,S
839,3,0,male,28,2,0,7.925,?,S
840,3,0,male,19,0,0,7.775,?,S
841,3,0,female,24,0,0,8.85,?,S
842,3,0,female,17,0,0,7.7333,?,Q
843,3,0,male,29,1,0,19.9667,?,S
844,3,0,male,29,1,0,19.9667,?,S
845,3,0,male,28,1,0,15.85,?,S
846,3,1,female,24,1,0,15.85,?,S
847,3,0,male,20,0,0,9.5,?,S
848,3,0,male,23,0,0,7.2292,?,C
849,3,0,male,41,2,0,14.1083,?,S
850,3,0,male,26,1,0,7.8542,?,S
851,3,0,male,21,0,0,7.8542,?,S
852,3,1,female,45,1,0,14.1083,?,S
853,3,0,female,29,0,0,7.55,?,S
854,3,0,male,25,0,0,7.25,?,S
855,3,0,male,29,0,0,6.8583,?,Q
856,3,0,male,11,0,0,18.7875,?,C
857,3,1,female,29,0,0,7.75,?,Q
858,3,1,male,27,0,0,6.975,?,S
859,3,1,male,29,0,0,56.4958,?,S
860,3,0,female,18,0,0,6.75,?,Q
861,3,1,female,26,0,0,7.925,?,S
862,3,0,female,23,0,0,7.925,?,S
863,3,1,female,22,0,0,8.9625,?,S
864,3,0,male,28,0,0,7.8958,?,S
865,3,0,female,28,0,0,7.775,?,S
866,3,0,female,29,0,0,7.75,?,Q
867,3,1,female,2,0,1,12.2875,?,S
868,3,1,female,22,1,1,12.2875,?,S
869,3,0,male,43,0,0,6.45,?,S
870,3,0,male,28,0,0,22.525,?,S
871,3,1,female,27,0,0,7.925,?,S
872,3,0,male,29,0,0,7.75,?,Q
873,3,1,female,29,0,0,8.05,?,S
874,3,0,male,42,0,0,7.65,F G63,S
875,3,1,male,29,0,0,7.8875,?,S
876,3,0,male,30,0,0,7.2292,?,C
877,3,0,male,29,0,0,7.8958,?,S
878,3,0,female,27,1,0,7.925,?,S
879,3,0,female,25,1,0,7.925,?,S
880,3,0,male,29,0,0,7.8958,?,S
881,3,1,male,29,0,0,7.8958,?,C
882,3,1,male,21,0,0,7.7958,?,S
883,3,0,male,29,0,0,7.05,?,S
884,3,0,male,20,0,0,7.8542,?,S
885,3,0,male,48,0,0,7.8542,?,S
886,3,0,male,17,1,0,7.0542,?,S
887,3,1,female,29,0,0,7.75,?,Q
888,3,1,male,29,0,0,8.1125,?,S
889,3,0,male,34,0,0,6.4958,?,S
890,3,1,male,26,0,0,7.775,?,S
891,3,0,male,22,0,0,7.7958,?,S
892,3,0,male,33,0,0,8.6542,?,S
893,3,0,male,31,0,0,7.775,?,S
894,3,0,male,29,0,0,7.8542,?,S
895,3,1,male,4,1,1,11.1333,?,S
896,3,1,female,1,1,1,11.1333,?,S
897,3,0,male,49,0,0,0,?,S
898,3,0,male,33,0,0,7.775,?,S
899,3,0,male,19,0,0,0,?,S
900,3,1,female,27,0,2,11.1333,?,S
901,3,0,male,29,1,2,23.45,?,S
902,3,0,female,29,1,2,23.45,?,S
903,3,0,male,29,1,2,23.45,?,S
904,3,0,female,29,1,2,23.45,?,S
905,3,0,male,23,0,0,7.8958,?,S
906,3,1,male,32,0,0,7.8542,?,S
907,3,0,male,27,0,0,7.8542,?,S
908,3,0,female,20,1,0,9.825,?,S
909,3,0,female,21,1,0,9.825,?,S
910,3,1,male,32,0,0,7.925,?,S
911,3,0,male,17,0,0,7.125,?,S
912,3,0,male,21,0,0,8.4333,?,S
913,3,0,male,30,0,0,7.8958,?,S
914,3,1,male,21,0,0,7.7958,?,S
915,3,0,male,33,0,0,7.8542,?,S
916,3,0,male,22,0,0,7.5208,?,S
917,3,1,female,4,0,1,13.4167,?,C
918,3,1,male,39,0,1,13.4167,?,C
919,3,0,male,29,0,0,7.2292,?,C
920,3,0,male,18,0,0,7.2292,?,C
921,3,0,male,29,0,0,7.75,?,Q
922,3,0,male,29,0,0,7.25,?,S
923,3,1,female,29,0,0,7.75,?,Q
924,3,1,female,29,0,0,7.75,?,Q
925,3,0,male,34,0,0,7.8292,?,Q
926,3,0,male,44,0,0,8.05,?,S
927,3,1,male,29,0,0,7.75,?,Q
928,3,0,male,29,1,0,14.4542,?,C
929,3,0,female,29,1,0,14.4542,?,C
930,3,0,male,29,1,0,7.75,?,Q
931,3,0,male,29,1,0,7.75,?,Q
932,3,0,male,29,0,0,7.7375,?,Q
933,3,0,female,22,2,0,8.6625,?,S
934,3,0,male,26,2,0,8.6625,?,S
935,3,1,female,4,0,2,22.025,?,S
936,3,1,male,29,3,1,22.025,?,S
937,3,1,female,26,1,1,22.025,?,S
938,3,0,female,1,1,1,12.1833,?,S
939,3,0,male,18,1,1,7.8542,?,S
940,3,0,female,36,0,2,12.1833,?,S
941,3,0,male,29,0,0,7.8958,?,C
942,3,1,male,25,0,0,7.2292,F E57,C
943,3,0,male,29,0,0,7.225,?,C
944,3,0,female,37,0,0,9.5875,?,S
945,3,0,male,29,0,0,7.8958,?,S
946,3,1,male,29,0,0,56.4958,?,S
947,3,0,male,29,0,0,56.4958,?,S
948,3,1,female,22,0,0,7.25,?,S
949,3,0,male,29,0,0,7.75,?,Q
950,3,1,male,26,0,0,56.4958,?,S
951,3,0,male,29,0,0,9.4833,?,S
952,3,0,male,29,0,0,7.775,?,S
953,3,0,male,22,0,0,7.775,?,S
954,3,1,male,22,0,0,7.225,?,C
955,3,0,male,29,3,1,25.4667,?,S
956,3,0,female,29,3,1,25.4667,?,S
957,3,0,female,29,3,1,25.4667,?,S
958,3,0,female,29,3,1,25.4667,?,S
959,3,0,female,29,0,4,25.4667,?,S
960,3,0,male,32,0,0,7.925,?,S
961,3,0,male,34,0,0,6.4375,?,C
962,3,0,female,29,1,0,15.5,?,Q
963,3,0,male,29,1,0,15.5,?,Q
964,3,0,male,36,0,0,0,?,S
965,3,0,male,39,0,0,24.15,?,S
966,3,0,male,24,0,0,9.5,?,S
967,3,0,female,25,0,0,7.775,?,S
968,3,0,female,45,0,0,7.75,?,S
969,3,0,male,36,1,0,15.55,?,S
970,3,0,female,30,1,0,15.55,?,S
971,3,1,male,20,1,0,7.925,?,S
972,3,0,male,29,0,0,7.8792,?,Q
973,3,0,male,28,0,0,56.4958,?,S
974,3,0,male,29,0,0,7.55,?,S
975,3,0,male,30,1,0,16.1,?,S
976,3,0,female,26,1,0,16.1,?,S
977,3,0,male,29,0,0,7.8792,?,S
978,3,0,male,20,0,0,7.25,?,S
979,3,1,male,27,0,0,8.6625,?,S
980,3,0,male,51,0,0,7.0542,?,S
981,3,1,female,23,0,0,7.8542,?,S
982,3,1,male,32,0,0,7.5792,?,S
983,3,0,male,29,0,0,7.8958,?,S
984,3,0,male,29,0,0,7.55,?,S
985,3,1,female,29,0,0,7.75,?,Q
986,3,1,male,24,0,0,7.1417,?,S
987,3,0,male,22,0,0,7.125,?,S
988,3,0,female,29,0,0,7.8792,?,Q
989,3,0,male,29,0,0,7.75,?,Q
990,3,0,male,29,0,0,8.05,?,S
991,3,0,male,29,0,0,7.925,?,S
992,3,1,male,29,0,0,7.2292,?,C
993,3,0,female,30,0,0,7.75,?,Q
994,3,1,female,29,0,0,7.7375,?,Q
995,3,0,male,29,0,0,7.2292,F E46,C
996,3,0,male,35,0,0,7.8958,?,C
997,3,0,male,33,0,0,7.8958,?,S
998,3,1,female,29,0,0,7.225,?,C
999,3,0,male,29,0,0,7.8958,?,C
1000,3,1,female,29,0,0,7.75,?,Q
1001,3,1,male,29,0,0,7.75,?,Q
1002,3,1,female,29,2,0,23.25,?,Q
1003,3,1,female,29,2,0,23.25,?,Q
1004,3,1,male,29,2,0,23.25,?,Q
1005,3,1,female,29,0,0,7.7875,?,Q
1006,3,0,male,29,0,0,15.5,?,Q
1007,3,1,female,29,0,0,7.8792,?,Q
1008,3,1,female,15,0,0,8.0292,?,Q
1009,3,0,female,35,0,0,7.75,?,Q
1010,3,0,male,29,0,0,7.75,?,Q
1011,3,0,male,24,1,0,16.1,?,S
1012,3,0,female,19,1,0,16.1,?,S
1013,3,0,female,29,0,0,7.75,?,Q
1014,3,0,female,29,0,0,8.05,?,S
1015,3,0,female,29,0,0,8.05,?,S
1016,3,0,male,55,0,0,8.05,?,S
1017,3,0,male,29,0,0,7.75,?,Q
1018,3,1,male,21,0,0,7.775,?,S
1019,3,0,male,29,0,0,8.05,?,S
1020,3,0,male,24,0,0,7.8958,?,S
1021,3,0,male,21,0,0,7.8958,?,S
1022,3,0,male,28,0,0,7.8958,?,S
1023,3,0,male,29,0,0,7.8958,?,S
1024,3,1,female,29,0,0,7.8792,?,Q
1025,3,0,male,25,0,0,7.65,F G73,S
1026,3,1,male,6,0,1,12.475,E121,S
1027,3,1,female,27,0,1,12.475,E121,S
1028,3,0,male,29,0,0,8.05,?,S
1029,3,1,female,29,1,0,24.15,?,Q
1030,3,0,male,29,1,0,24.15,?,Q
1031,3,0,male,29,0,0,8.4583,?,Q
1032,3,0,male,34,0,0,8.05,?,S
1033,3,0,male,29,0,0,7.75,?,Q
1034,3,1,male,29,0,0,7.775,?,S
1035,3,1,male,29,1,1,15.2458,?,C
1036,3,1,male,29,1,1,15.2458,?,C
1037,3,1,female,29,0,2,15.2458,?,C
1038,3,1,female,29,0,0,7.2292,?,C
1039,3,0,male,29,0,0,8.05,?,S
1040,3,1,female,29,0,0,7.7333,?,Q
1041,3,1,female,24,0,0,7.75,?,Q
1042,3,0,male,29,0,0,8.05,?,S
1043,3,1,female,29,1,0,15.5,?,Q
1044,3,1,female,29,1,0,15.5,?,Q
1045,3,1,female,29,0,0,15.5,?,Q
1046,3,0,male,18,0,0,7.75,?,S
1047,3,0,male,22,0,0,7.8958,?,S
1048,3,1,female,15,0,0,7.225,?,C
1049,3,1,female,1,0,2,15.7417,?,C
1050,3,1,male,20,1,1,15.7417,?,C
1051,3,1,female,19,1,1,15.7417,?,C
1052,3,0,male,33,0,0,8.05,?,S
1053,3,0,male,29,0,0,7.8958,?,S
1054,3,0,male,29,0,0,7.2292,?,C
1055,3,0,female,29,0,0,7.75,?,Q
1056,3,0,male,29,0,0,7.8958,?,S
1057,3,1,male,12,1,0,11.2417,?,C
1058,3,1,female,14,1,0,11.2417,?,C
1059,3,0,female,29,0,0,7.925,?,S
1060,3,0,male,28,0,0,8.05,?,S
1061,3,1,female,18,0,0,7.775,?,S
1062,3,1,female,26,0,0,7.8542,?,S
1063,3,0,male,21,0,0,7.8542,?,S
1064,3,0,male,41,0,0,7.125,?,S
1065,3,1,male,39,0,0,7.925,?,S
1066,3,0,male,21,0,0,7.8,?,S
1067,3,0,male,28,0,0,7.2292,?,C
1068,3,1,female,22,0,0,7.75,?,S
1069,3,0,male,61,0,0,6.2375,?,S
1070,3,0,male,29,1,0,15.5,?,Q
1071,3,0,male,29,0,0,7.8292,?,Q
1072,3,1,female,29,1,0,15.5,?,Q
1073,3,0,male,29,0,0,7.7333,?,Q
1074,3,0,male,29,0,0,7.75,?,Q
1075,3,0,male,29,0,0,7.75,?,Q
1076,3,0,male,23,0,0,9.225,?,S
1077,3,0,female,29,0,0,7.75,?,Q
1078,3,1,female,29,0,0,7.75,?,Q
1079,3,1,female,29,0,0,7.8792,?,Q
1080,3,1,female,22,0,0,7.775,?,S
1081,3,1,male,29,0,0,7.75,?,Q
1082,3,1,female,29,0,0,7.8292,?,Q
1083,3,1,male,9,0,1,3.1708,?,S
1084,3,0,male,28,0,0,22.525,?,S
1085,3,0,male,42,0,1,8.4042,?,S
1086,3,0,male,29,0,0,7.3125,?,S
1087,3,0,female,31,0,0,7.8542,?,S
1088,3,0,male,28,0,0,7.8542,?,S
1089,3,1,male,32,0,0,7.775,?,S
1090,3,0,male,20,0,0,9.225,?,S
1091,3,0,female,23,0,0,8.6625,?,S
1092,3,0,female,20,0,0,8.6625,?,S
1093,3,0,male,20,0,0,8.6625,?,S
1094,3,0,male,16,0,0,9.2167,?,S
1095,3,1,female,31,0,0,8.6833,?,S
1096,3,0,female,29,0,0,7.6292,?,Q
1097,3,0,male,2,3,1,21.075,?,S
1098,3,0,male,6,3,1,21.075,?,S
1099,3,0,female,3,3,1,21.075,?,S
1100,3,0,female,8,3,1,21.075,?,S
1101,3,0,female,29,0,4,21.075,?,S
1102,3,0,male,1,4,1,39.6875,?,S
1103,3,0,male,7,4,1,39.6875,?,S
1104,3,0,male,2,4,1,39.6875,?,S
1105,3,0,male,16,4,1,39.6875,?,S
1106,3,0,male,14,4,1,39.6875,?,S
1107,3,0,female,41,0,5,39.6875,?,S
1108,3,0,male,21,0,0,8.6625,?,S
1109,3,0,male,19,0,0,14.5,?,S
1110,3,0,male,29,0,0,8.7125,?,C
1111,3,0,male,32,0,0,7.8958,?,S
1112,3,0,male,0,1,1,13.775,?,S
1113,3,0,female,3,1,1,13.775,?,S
1114,3,0,female,26,0,2,13.775,?,S
1115,3,0,male,29,0,0,7,?,S
1116,3,0,male,29,0,0,7.775,?,S
1117,3,0,male,29,0,0,8.05,?,S
1118,3,0,male,21,0,0,7.925,?,S
1119,3,0,male,25,0,0,7.925,?,S
1120,3,0,male,22,0,0,7.25,?,S
1121,3,1,male,25,1,0,7.775,?,S
1122,3,1,male,29,1,1,22.3583,?,C
1123,3,1,female,29,1,1,22.3583,F E69,C
1124,3,1,female,29,0,2,22.3583,?,C
1125,3,0,female,29,0,0,8.1375,?,Q
1126,3,0,male,24,0,0,8.05,?,S
1127,3,0,female,28,0,0,7.8958,?,S
1128,3,0,male,19,0,0,7.8958,?,S
1129,3,0,male,29,0,0,7.8958,?,S
1130,3,0,male,25,1,0,7.775,?,S
1131,3,0,female,18,0,0,7.775,?,S
1132,3,1,male,32,0,0,8.05,E10,S
1133,3,0,male,29,0,0,7.8958,?,S
1134,3,0,male,17,0,0,8.6625,?,S
1135,3,0,male,24,0,0,8.6625,?,S
1136,3,0,male,29,0,0,7.8958,?,S
1137,3,0,female,29,0,0,8.1125,?,S
1138,3,0,male,29,0,0,7.2292,?,C
1139,3,0,male,29,0,0,7.25,?,S
1140,3,0,male,38,0,0,7.8958,?,S
1141,3,0,male,21,0,0,8.05,?,S
1142,3,0,male,10,4,1,29.125,?,Q
1143,3,0,male,4,4,1,29.125,?,Q
1144,3,0,male,7,4,1,29.125,?,Q
1145,3,0,male,2,4,1,29.125,?,Q
1146,3,0,male,8,4,1,29.125,?,Q
1147,3,0,female,39,0,5,29.125,?,Q
1148,3,0,female,22,0,0,39.6875,?,S
1149,3,0,male,35,0,0,7.125,?,S
1150,3,1,female,29,0,0,7.7208,?,Q
1151,3,0,male,29,0,0,14.5,?,S
1152,3,0,female,29,0,0,14.5,?,S
1153,3,0,male,50,1,0,14.5,?,S
1154,3,0,female,47,1,0,14.5,?,S
1155,3,0,male,29,0,0,8.05,?,S
1156,3,0,male,29,0,0,7.775,?,S
1157,3,0,female,2,1,1,20.2125,?,S
1158,3,0,male,18,1,1,20.2125,?,S
1159,3,0,female,41,0,2,20.2125,?,S
1160,3,1,female,29,0,0,8.05,?,S
1161,3,0,male,50,0,0,8.05,?,S
1162,3,0,male,16,0,0,8.05,?,S
1163,3,1,male,29,0,0,7.75,?,Q
1164,3,0,male,29,0,0,24.15,?,Q
1165,3,0,male,29,0,0,7.2292,?,C
1166,3,0,male,25,0,0,7.225,?,C
1167,3,0,male,29,0,0,7.225,?,C
1168,3,0,male,29,0,0,7.7292,?,Q
1169,3,0,male,29,0,0,7.575,?,S
1170,3,0,male,38,0,0,7.25,?,S
1171,3,0,male,29,8,2,69.55,?,S
1172,3,0,male,14,8,2,69.55,?,S
1173,3,0,female,29,8,2,69.55,?,S
1174,3,0,female,29,8,2,69.55,?,S
1175,3,0,female,29,8,2,69.55,?,S
1176,3,0,female,29,8,2,69.55,?,S
1177,3,0,male,29,8,2,69.55,?,S
1178,3,0,male,29,8,2,69.55,?,S
1179,3,0,male,29,8,2,69.55,?,S
1180,3,0,male,29,1,9,69.55,?,S
1181,3,0,female,29,1,9,69.55,?,S
1182,3,0,male,24,0,0,9.325,?,S
1183,3,1,female,21,0,0,7.65,?,S
1184,3,0,male,39,0,0,7.925,?,S
1185,3,0,male,29,2,0,21.6792,?,C
1186,3,0,male,29,2,0,21.6792,?,C
1187,3,0,male,29,2,0,21.6792,?,C
1188,3,1,female,1,1,1,16.7,G6,S
1189,3,1,female,24,0,2,16.7,G6,S
1190,3,1,female,4,1,1,16.7,G6,S
1191,3,1,male,25,0,0,9.5,?,S
1192,3,0,male,20,0,0,8.05,?,S
1193,3,0,male,24,0,0,8.05,?,S
1194,3,0,male,29,0,0,7.725,?,Q
1195,3,0,male,29,0,0,7.8958,?,S
1196,3,0,male,29,0,0,7.75,?,Q
1197,3,1,male,29,0,0,9.5,?,S
1198,3,0,male,29,0,0,15.1,?,S
1199,3,1,female,29,0,0,7.7792,?,Q
1200,3,0,male,29,0,0,8.05,?,S
1201,3,0,male,29,0,0,8.05,?,S
1202,3,0,male,22,0,0,7.2292,?,C
1203,3,0,male,29,0,0,8.05,?,S
1204,3,0,male,40,0,0,7.8958,?,S
1205,3,0,male,21,0,0,7.925,?,S
1206,3,1,female,18,0,0,7.4958,?,S
1207,3,0,male,4,3,2,27.9,?,S
1208,3,0,male,10,3,2,27.9,?,S
1209,3,0,female,9,3,2,27.9,?,S
1210,3,0,female,2,3,2,27.9,?,S
1211,3,0,male,40,1,4,27.9,?,S
1212,3,0,female,45,1,4,27.9,?,S
1213,3,0,male,29,0,0,7.8958,?,S
1214,3,0,male,29,0,0,8.05,?,S
1215,3,0,male,29,0,0,8.6625,?,S
1216,3,0,male,29,0,0,7.75,?,Q
1217,3,1,female,29,0,0,7.7333,?,Q
1218,3,0,male,19,0,0,7.65,F G73,S
1219,3,0,male,30,0,0,8.05,?,S
1220,3,0,male,29,0,0,8.05,?,S
1221,3,0,male,32,0,0,8.05,?,S
1222,3,0,male,29,0,0,7.8958,?,S
1223,3,0,male,33,0,0,8.6625,?,C
1224,3,1,female,23,0,0,7.55,?,S
1225,3,0,male,21,0,0,8.05,?,S
1226,3,0,male,60,0,0,?,?,S
1227,3,0,male,19,0,0,7.8958,?,S
1228,3,0,female,22,0,0,9.8375,?,S
1229,3,1,male,31,0,0,7.925,?,S
1230,3,0,male,27,0,0,8.6625,?,S
1231,3,0,female,2,0,1,10.4625,G6,S
